!بسيطة يا متر! كانت وجبة ممتازة	bãsʲit ʲa ʲimit kʲæːnʲɪt wɛkbɨ mɪm tɛzɪ
abdel fattah al-sisi	ʕabdælf ælˈtæhˤisˤ
سُعرات حرارية	sɑːrɑːt ħarɑrjɑ
سُك	sup
سُك الباب وراك	supkɛ bɛborɔk
سُلطة	sulˈtˈa
سُلْفة	sulˈfa
سُمْعَة	soma
سِتّ	sɪt
سِتّات طيِّبين	tʃas tetoj tʃas vin
سِنّة	sɛnː
شأشأ	ʃapːˈʃapː
شارع ايه ده	ʃɾˈʕadɑ
شارموفرز	ʃɚmˈɔfeɾz
شاشة	sæsæ
شاطر	ʃɑˈtɯr
شاطرة	tʃɒtrɒ
شاطرين	ʃatɾiːn
شاطىء	ʃɔːtɛ
شامّة	semmɑ
شاي	ʃe
شاي بلبن	ʃej belæbæn
شايف	ʃɛjˈnf
شايفة	ʃaːjˈfˈa
شايفين	ʃæfˈin
شايل	ʃɛjːl
شايلة	ʃɑjlɑ
شايلين	ʃɑjliːn
شبابيك	ʃbbiʔiːk
شباشب	ʃalaʃem
شباك	ʃɛbɛk
شبت	ʃabˈa
شبرا	sabra
شبشب	ʃɪpʃɪp
شبشب [slash] شباشب	təpʃɪ̞m ʃæmɛʃɪ̞m
شبعانة	ʃæbʕana
شبه	ʃɑbɑh
شبورة	ʃɑːdgˈɔra
شتاء [slash] شتا	ʃta
شجاع	ʃuˈgɛ
شجرة	saˈgɐrɑ
شحاتة	tʃaħad
شخط	ʃɑχɑt
شد حيلك، الشغل كتير النهاردة	ʃitˈtɒ hˈɒˈjlik ɒˈʃiχlik tˈiɾiˈnˈnɒˈɾˈidu
شراب	ʃarob
شربت	ʃarabd
شربو	ʃɾb
شرعية	ʃɑːrˈʕiːɑ
شرق	ʃɛr
شرقها	ʃæriːhæ
شركات	ʃærkːətʃɒɾiˈke
شركة أمريكية كبيرة جديدة	ʃɪrka ʔamriːkaja kɪbɪra kɪˈdɪða
شركة سياحة	ʃɛrkɪt siːˈjɑːhɑ
شركتنا	tʃɛrkʲɪtnæ
شريف إكرامي	ʃɛˈrɪf ˈɛ kroːmɪ
شريف سلامة	ʃæɾiːf sɛlɛːmɑ
شرْط	ʃɔrt
شط	ʃˈɑt
شطار	ʃʊ̞tːɑr
شطة	tʃatːa
شطرنج	ʃatɐrɐnga
شعب مرجانية	ʃˈʃˈɑd mɾgɑniː
شعبان	ʃʕæːn
شعبي	ʃɑʕb
شعيب	ʃɑʕiːb
شغال	ʃɑɣˈʁɛl
شغل	ʃˈuʁn
شغلت الراديو	ʃɣəl d ɾɑːdijˈo
شفايف	ʃˈafˈajf
شفت البنت دى؟	ʃft ˈalbnt diː
شفت البنتين دول	ʃofttjˈl vˈɛntiːm dˈoːl
شفت الولدين دول	ʃˈoftə rwalˈla dˈin dˈuːr
شقة	ʃɛ
شقق	ʃɔˈa
شقق فضية	tʃu æfidjɑ
شكرا	ʃuqhɒnˈ
شكرًا	ʃukram
شكل	ʃækl
شكلك جامد في الصورة دي	tʃek ne gæmɪt kɪstɪuɾɛdi
شكلها	ʃaklaħæ
شكْلها	ʃɑklɑhɑ
شلال	ʃalːɛl
شلالات	ʃɛllɛnɛt
شلبي	ʃɑlɑbi
شلن	ʃælin
شماريخ	ʃomriːx
شماعة	ʃæmˈʕa
شمال	ʃamˈɛl
شمال شرق	ʃamɛl ʃaːr
شمال غرب	ʃamɛl ʁɑˈrb
شمروخ	ʃamɾoːx
شمع	ʃamɑ
شنطة	ʃanta
شهر	ʃɑhˈr
شهر[slash] شهور	ʃo
شهرزاد	ʃɑhɾzæd
شوارعنا	ʃɒˈɾan
شوال (شوّال)	ʃaeʔ̚l
شوال (شِوال)	ʃueːl
شوربة	ʃɔrba
شوربة عدس	ʃobet ʕatˈs
شورْبة	ʃorba
شوط	ʃɔt
شوط الكورة	ʃɔtˤ ælˈkɔra
شوط في الماتش	ʃoːt f ælmɑtʃ
شوف ده	tʃuβ dɑ
شوف دول	ʃuː fdoːl
شوف دي	ʃofti
شوفي ده	ʃuː fˈil
شوفي دي	ʃofidˈi
شوك (شُوك)	ʂuk
شوك (شِوَك)	ʃɛwːak
شوكة	ʃɔːkɑ
شويبس	ʃwps
شوية	ʃyvʌjˈe
شويكار	ʃvekoɾ
شويه عن نفسى	ʃuːaːja ʕan nafsi
شويّة	ʃuɫjˈe
شيخ	ʃiːx
شيفون	ʃifun
شيل	ʃtˈʃiːl
شيلي	ʃˈiːli
شيماء	ʃæjmæ
شيمبانزي	ʃɪmbɛnzi
شينيور	ʃenʲeˈʊʒ
شيوخ	ʃiːuːx
شَقِيّ	sa˨˩i˥
شَكلُه حِلو	ʃakl ħælɑ
شُغل	sˈʊɹ
شُنَط	ʃoˈnɑt
شِرْكة	sɛrkɐ
صابر	sɒbˈiɾ
صابرة	sabra
صابرين	sˈɑbrˈiːn
صابع	sɔbe
صابون	sabuːn
صابون سائل	sˈabuːn sˈajl
صاحب	sˈlˤɑhˈd
صاحبتي	sˈahbiːtˈi
صاحبي	sˈɑħbi
صاحي	sɑːħiː
صاحية	sɑħhjɑ
صاحيين	sˤɑħˈjæːn
صالح	sɑlɛ
صالون	saˈlˈɔn
صباح الخير	sˈbɑːħ ælˈxæjɾ
صباح الفـل	sˈbɑːħ ælfl
صباح القشطة	sˈbɑːħ ælʔaʃtˤa
صباح النور	sˈbɑːħ ælˈnuːr
صباح الورد	sˈbɑːħ ælwrd
صباع	sɔːˈbɑːɹ˥
صبونة	sabuːna
صح	sˈɑhˈ
صحاب	sˌaːzˈ
صحابي	saːħɑːb
صحبتي	sˈɑħbɪti
صحرة	sahar
صخر	sɑχr
صخور	saxur
صدر	sɨdr
صراصير	sˈɑrastˈiːr
صربيا	sɛrbja
صرصار	sˈɔɾsˈoɾ
صرصور	sarsuɾ
صعب	sɑb
صعلوك	saːluːk
صعيدي	saʁˈdˈɛ
صغير	sˈugɯjɯr
صغيرة	sʊ̞ʁäjjäɾä
صغيرين	sˈʁˈɑjrˈjˈn
صفحة	sˈafˈhɑ
صفر (صَفَر)	sɑfɑɾ
صفية	safeia
صقر	sˈɑ
صقور	suːr
صلاة الجمعة	sˈɑlˈɑt ælˈgɑmɑʔɑ
صلاة الجنازة	sɒlɒtˈ algeˈneˈsˈi
صلاة العيد	sˤɑlˈɑt ælˈʕiːd
صلاح الدين	sˤɑlˈh ælˈdˤiːn
صلصة	tsˈalˈsɔ
صلیب	sˈaːliːb
صن بايتس	sʌn baɪts
صناديق	sˈɑːnˈdiːt
صنارة	sennaːra
صندل	sandal
صندوق	sanˈdu
صهد	sˈɔʁd
صوابع	sawapæ
صوباع	sobɒ
صوفيا	sˈoːfɪa
صوم	saˈɫm
صيام	sijon
صيدلة	saːjdɔra
صيدلية	sajdælæjæ
صيف	sˈif
صيني	tsɯini
صَلآحیت	sˤaːliħaːjæːt
صُوتْ عَالِي	su˥˧ta˧˧e˨˦li˨˩
صِّوَر	sˈaɪwˈɚ
صیاد	saːjɐd
صید	sˈid
ضار	dor
ضايِع	daja
ضباع	ðəbɔː
ضبع	doba
ضد	dˈɯd
ضرب	tɔrɯp
ضربة جزاء	dˈɒˈɾbˈetˈ gɒðɒˈ
ضربة شمس	doːr bɛt ʃams
ضرورية	dɑːrˈʊːɾe̞iːjɑ
ضعيف	dɑːˈʕiːθ
ضفادع	tˈaːfˈdˈʕˈ
ضفدع	dufda
ضفدعة	dovda
ضفضع	tufˈdɑ
ضلمة	dolma
ضيف	dɯɪf
ضيق	d̪e
ضيقة	dˈaːdˈjˈæːɑ
ضيقين	ðæjjæːˈn
ضيّق	dæjæ
ضَروري	dɔrˈuːri
ضَيَق	daje
طاجيكستان	todʒikɛsteiɛn
طارق	tɔːrɛ
طارق حامد	tɑr ħamn
طازة	tɔzɔ
طاسة	tofa
طاقية	tˤɑːjˈjɑ
طالب	tɒlim
طالع	tɑːlɛr
طالعة	tɑlˈʕa
طالعين	tɑlˈʕiːn
طاووس	taːs
طايق	ta˥˩jɛ
طب	tɨm
طب أسنان	tɔ ba ɛsniː
طب الأسنان	tˤd̪ biaːlæsˤniːn
طب ايه	tɔːpˈiː
طباشير	tɑpɑʃiːr
طبخ	tɑːp
طبطب	top-op
طبطبت	tɑbtɑbit
طبق	tɑˈbɑʔ
طبيخ	tɑːbɪx
طحن	tɑħ
طحينة	tˤħjːnˤ
طراطيش	tɛrɑtii̯s
طربيزة	taɾabɪza
طريق	tˈri
طريق الاتوستراد	taːriː ɛlætoːstˈrodː
طريقة	ta˩˥ːriː˧i˥˩
طريقه	taːriːɔː
طعمها	taʕmah
طعمها لزيز	tɑːmɑːhɑː laːʒiːz
طعمية	tˈɑːrmˈɛnjˈɑː
طــبــق	ta˩˥ːba˥˩ː
طفاية حريق	laːlħaːj ħariː
طفاية سجاير	tʊɟ plsɪj ˈeɪr
طقس	dˈɑks
طلع	tɜːlɜː
طماطم	tɑmɑtɛm
طناش	tɑnɑːʃ
طنش	tɑmnɯ̞ʃ
طنطا	tɔntɔ
طوال	tˈuːɔl
طواويس	tɔuɔz
طوب	tub
طوبة	tova
طور سيناء	tʊr siːnɛ
طويل	tɔ̀iːl
طويلة	taːi̯˧
طوّالي	tawɑli
طيار	tajɔr
طيارة	tˈojjˈɔrɑ
طيب	tɔjeb
طيبة	tajeba
طيبين	tajɯnɯbiːn
طيران	tajˈjɑrɑn
طَرِيق	tɔriː
طَلَبَك	tɑɫɑbaːk
ظابط	zɔbet
ظباط	zubot
ظبط	dˈɑpt
ظرف	zɑrf
ظريف	zɒːɾiːf
ظن	zanˈ
عائشة	ɑːgə
عاجِب	ʕagæb
عاجِبني	aːgɪbniː
عادي	ʁaːjdi
عارضة	ʕrdɑ
عارف	ɑːrɑf
عارف إنه مش كويس	aʕa rafaː ʔanu mɪkˈtˤuːejːs
عارفة	ʕaɾfɑ
عارفين	ɑrfiːn
عاش	aʃ
عاصفة	ɑsˈifˈɑ
عاصفة رعدية	aːsˤf rɑːdɪːjɑ
عاصفة رملية	hasa farɔm lejje
عاصمة	ʕaːsma
عاقِب \ بِيْعَاقِب	ʁˈɛkub bɪʁʁˈɛkub
عاكست	ɑkɑst
عاكسوا	aːdsˤiːv
عامل	ʕaml
عامل ايه	həˈjmˈɛli
عامل ايه؟	ʕaml ʔiː
عاملة ايه؟	ɑmlɑʔiː
عاملين ايه	ʕaːmaliːna
عامية	ɑːmɛɪˈɑ
عاوز	ajɛuz
عايز	aʲuz
عايز آكل	ajzakon
عايز اقولك حاجة مهمة بخصوص الشغل	ʔɑjˈzɑ ɪlħɑdɪ wɑhɑmmɑ bxʃus ælʃoːʔali
عايز حاجة؟	ˈaɪs hˈɛgɪn
عايز قلم واحد لو سمحت	ʕaːliːz ʔalm waːhad lʔuzmɑ
عايزة	ˈaɪzən
عايزة أَدخُل كُلّيّة الحقوق بعد التَخَرُّج	ʕaː jiz ʔadˈxæl qɑlħaːq bada ælˈtˤɑ
عايزة تتكلمي مع ماما وبابا قبل ما تسافري	ʔaʕzɑ ttkælæmij maʕ mɑmɑ ʔubɑbɑ ʔabɫɪmɑ ʔtsæfægri
عايزة تتكلمي مع ماما وبابا قبل ما تسافري؟	ʔaʕa ttkælæmʔiː maʔmɑː mawbʁb ʔɑblɑ matsɑfɾɪ
عايزة حاجة؟	tʃoðuz eʃɾigɛ
عايزة مسكن عشان دماغي بتوجعني	ʔaziː zɑmɑːkɑ kɑlʁɑn demʁiːt tuʁˈgɑni
عايزك	aʕsˤ
عايزين	ʕaːjˈsin
عايزين ناكل	ʔaːjziːn nakul
عايش	ʕiːtʃ
عايشة	ɑːliːsˈhɑ
عايشين	ɕaŋ
عبد الحليم حافظ	ʕtˤɑr ħælɪm ħɑːfɪsm
عبد الرحمن	ʕabdɑrɑhɑmɛn
عبد الله	ɑːbdɑːnˈlɑ
عبد الله السعيد	ʕabdalla saʕiːd
عبده موتة	ɑbdɑmuːdɑ
عبيد (عِبيد)	ʕbid
عبير	ɑpɛer
عبيط	ɑˈbɪt
عتبة	aʕtabɑ
عثمان	ʕsˈmɑːn
عجل	ʕagl
عجل (عِجْل)	ʕagl
عجلة	ʕagal
عجوة	aːgwa
عدد	ʕadˈdˈ
عدس أصفر	ɑːtssɑːs fər
عدس بجبة	ʕatˈsˈb geːnˈbɑ
عدسہ	aadˈasa
عراض	ɑʕraːd
عراقي	ʁɛɾɛj
عرايس	arois
عربي	ɑraːb
عربيات	ɑraːbijjɑt
عربية	ɑɾɑˈbɪjɑ
عربية إسعاف	ɑɾɑbiːt ɑsˈʕɑjθ
عرس	ajɾas
عرسة	ʕaʕa
عرف	ɢɾf
عروسة	ɑruːsɑ
عريض	ʕi
عريضة	ɑrɪsas
عزاء	ʕaza
عزاء [slash] عزا	ʁˈaza
عزاز	ɑzˈz
عزيز	ʁazˈiz
عزيزة	izˌɐ
عزيزي	ɑːziːziː
عساكر	ʕasakɪ̞ɾ
عسكري	ɑsˈkæri
عسل	ɑːsl
عسل نحل	ɑsɑlnah
عسولة	ɑsˈvˈlɑ
عشا	ʕaʕa
عشان	ɑːʃˈjɑːn
عشان ايه	ɑʕɛːn iː
عشان كدا	ɒˈʃɒn kɒdˈa
عشرة	ɑʃɑrɑ
عشرة (عِشرة)	ɑʕˈɾɑ
عشرين	ʕʔɾiːn
عشم	aʃæm
عصافير	æˈlsˈafiːr
عصام الحضري	ɑsˈm ɑlˈhadˈri
عصفور الجنة	as fʊr ʎ gˈɛnːa
عصفورة	ɐspuɾɐ
عصلج	aslak
عصور	ɑsˈvˈr
عضل	adon
عضلات	ɢandalaːt
عضلة	aʕdala
عطشان	atʃon
عطشانة	aʁotʃoɔnɔ
عطشانين	atɕanijnɨ
عظام (عِظام)	ʕa
عظم [slash] عضم	ˈʁɑdmɑ
عـمرو وردة	ɾmruɾrda
عـيون	ɑjˈuːn
عقارات	ʁɑqqɑrat
عقارب	ɑːlæbr
عقب سيجارة	ˈʕaqub siˈgɔrɔ
عقبال ١٠٠ سنة	aː qɛnd mʲis sɛnɛ
عقبالك	ɔbeːlæt
عقبالك (عقبالِك)	ɑqbɑjɪlk
عقبالكوا	tʃoːlˈkɑ
عقد	ʁˈakd
عقرب	ɑlɑb
عقل (عَقْل)	ɢɑːl
عقود	ʕʔæːd
عقيدة	ʕaqa
عك	ʕk
علاج	ʕalɑk
علب (عِلَبْ)	ʕalæm
علبة	ʕalba
علبة ألوان	ɑlˈb ɑlˈweːn
علشان	ɑlˈʃæːn
علم	ɦalɨm
علم (عِلم)	ʕalma
علم الآثار	ɑlˈm ælˈsˤɑr
علم الإنسان	ʕalm ælnsaːn
علم الاجتماع	ʕalm ælæktæmɪʕ
علم الفلك	ʕalm ælflæ
علم النفس	ʕalm nafs
علمية	ælmenjæ
علوضعي	ɑllɑʊɑdˈʕ
علوم	ʕaluːm
علوم سياسية	ɑlˈlɑm siːja
على	ɑlˈb
على الأقل	ɑlˈlɑ ælʔaqniː
على ايه	ɑlˈʔiː
على جنب لو سمحت	ɑlˈb liːbˈlɑv sˈmːˈħad
على قد لحافك مد رجليك	ʕalaː ʔad ælħæːfæk mɪð rglik
على وصول	ɑlˈvɑrˈsuːl
على وضعي	ɑlɑum adˈzɑj
علي	ɑliʕaliː
علي جبر مسعد	ɑliː gɐbrumɔsad
عليك	ɑˈliːk
عليكوا	ɑlˈikːo
عليكِ	ʕaliːk
علينا	ɑːliːnɑ
عليه	ɑliːh
عليها	ɑliːhɑ
عليهم	ælæm
عليّ [slash] عليا	ɑli ɑ
عم	ʕan
عمارات	ɑmˈɑrɑt
عمارة	aemoro
عمال	ɑːmːəl
عمال علي بطال	ˈɑmɛla ɑlɑ pɔtɔl
عمال يرقص	amɛl jurʊs
عمة	ʕamma
عمدة	ɒmda
عمر	ɕumɑr
عمر محمود جابر	ɑmˈr maħmuːd gɑbr
عمرو	ʕamr
عمليات	ʕmaliaːt
عملية	ɑmˈliːah
عملية جراحية	ʕmaliː gɾaħiː
عملية زراعة كبد	ɒmælˈjiːt ziˈraːt kʰeˈbe
عن إذنك	an ɪznɛk
عن إذنِك	an ɪznik
عناكب	ʕanikɪb
عناوين	ɑnɑˈviːn
عنب	ʕænæm
عندك	ɢɑndɑk
عندكو	anːd̪oku
عندنا	ʕandana
عنده	ʕendu
عندها	ðænæmdæhɑ
عندهم	ʕandˈhɑm
عندي	ʕanːdiː
عندي صورتين اتنين	aːndz susːtːiːnɪtniːn
عندِك	andɯ̞k
عنكبوت	ʕankabuuːt
عنها	ʁˈanɑhˈ
عنوان	ɑnˈwɑn
عنيد	ʔaːnid
عوارض	aowɔrðʊ
عواصف	aʊsɯv
عواصم	ʕawɑsˈm
عوم	oɯm
عيادات	ʕa
عيادة	ajeda
عيادة خارجية	e d xarɣeje
عيال	ʕaːle
عيان	ʁˈajˈɛn
عيد (عَيِّد)	ʕaj
عيد (عِيد)	ʕa
عيد الأضحى	ʕiːd ælˈʃæ
عيد الأم	ʕiːd ælʔum
عيد العمال	ʕiːd ælʕmaːl
عيد الفطر	ʕiːd ælfætr
عيد ميلاد سعيد	aʕad milaːt saʕiːd
عيداروس	əd̪aɺos̪
عيسى	ʁˈisˈa
عيش	ɾˈis
عيش (عِيْش)	aɪs
عيشة تقرف	ˈɛɪʃɛt ɪrɛf
عيل	ajˈeɪl
عيل شمال	laːɦɪrˈgiːʃrɛ
عين	aɾ
عيون	oiu̯n
عيون زرق	oioan zrp
عيوني	aɠˌuːnˈi
عَفْو	ʕafu
عَقْل	ʕan
عَكْس	aks
عَلشان كِدَه	ɑˈʔalaː ʃɑːn kɪdˈdi
عَلى فين؟	ɑlˈfˑin
عَلى مَهلك	ɑlɑmɑhɫɯ̞k
عَمرة	ʕamrɑ
عَمِيل	ɑːmiːl
عَوالِم	ʕawælɪm
عُرف	ɦuruf
عُقد	ʁɑːdˈe
عُمرة	ʕomra
عُمْرَها	ɑmrɑhɑ
عِجل	ɐgːlʊ
عِمَّة	ʕimːɑ
غابة	ʁæb
غادة	ɣˈeːda
غالبا	ɣæ̹lɪ̞bæn
غالي	ʁeˈlj
غالية	ɣalɪa
غاليين	ɣaliːn
غامق	ʁˈame
غاوي مشاكل	gʲuzɛwɪ mæʃækʲɪl
غجري	ɣɑgɑriː
غدا	ɣ̞ɑda
غراب	ʁurum
غرب	ɢɑrb
غرز (غَرَزْ)	ɣrz
غرز (غُرَزْ)	ɣoːr æz
غرزة	ɣorza
غرور	ʁurur
غريبة	ɣaɾiba
غريبة (غُرَيّبة)	ɢorajjeba
غزا	ɣɑzɑ
غزال	ɣ̞æðiːl
غسالة	ɢɑsˈælɑ
غسيل	ɣasˈil
غـَطس	rʌtsˤ
غفير	ɣˈafˈiɾ
غلاسة	ɣəlɛsɑ
غلبان	ɢælban
غلط	ɣɑlɑt
غليان	ɣ̞e̞lai̯eːn
غوايش	ʁɑuɛjɪ̞ʃ
غوريلا	ɣɔrɛlla
غويشة	ɾoːʝʃˈe
غير	ɣeːr
غير شرعية	ɣeːr ʃarˈʕiːh
غيرك	ɢeræt
غيط	ɣˈijt
غينيا	zɛnja
غينيا الإستوائية	ɣenial estua ʔeʝa
غينيا بيساو	ɣaniː bisˈæv
غَلَط	ʁɑlæt
غَيَم	ʁæjːm
غَيّمة	ɣˈiːmæ
غِيران	ɣajron
فؤاد الأول	fʔaʕiːd ælæwæl
فاتح	fˈæːtˈɑh
فاتِت	fˈeɪtɪd
فار	fɔː
فارسي	fersi
فاصوليا	fˈasˈʊlɪɐ
فاصوليا بيضا	fˈasˈulˈɨ ɐbˈeɪŋdˈɐ
فاصوليا حمرا	fasˈl ja ħamˈra
فاضي	fodsj
فاضية	fodsio
فاضيين	flzjˈnˈ
فاطمة	fatma
فاكر	feːkɾ
فاكرة	fakˈra
فاكرين	fˈakɾiːn
فاكهة	fakˈa
فالصو	falsu
فانلة	fanala
فانوس	fˈɛnˈˈoːs
فاهم	ðeːm
فاهمة	fˈaxmˈa
فاهمين	fɑːmɪn
فاهِم؟	fˈɛhem
فاهْمين؟	fɑːmɪn
فاهْمَة؟	fˈahmˈɑ̃
فاول	faɾwɪl
فبراير	febɾɑjɯr
فبركة	fabɾakɑ
فتحي	fatˈħi
فتورة	faduːrɔ
فخور	fɑχˈɵlˈʁ
فراخ	fˈɾˈeɣ
فراشات	fɾʃtˈ
فراشة	farɔʃa
فراغ	farɔɣ
فراولة	farɔːlˈa
فرجة على الآثار	urgaːlɨl ɑsˈor
فرح	frɑħ
فرحان	farħɑn
فرخة	farχɛ
فرسان	fɔɾsɛn
فرفور	fɾfɔːr
فرمل	fɒˈɾmɒn
فرن	furn
فرنسا	farɔntsa
فرنساوي	ɔːnˈseɪwˌiː˧
فريزر	frˈeːzɔr
فسطاط	fɔstˈɑt
فسيخ	fɛsˈr
فسّح	fæˈsˤɑħ
فشار	fesˈor
فشخرة	fʃɣɑrɑ
فصل [slash] فصول	pɑz ˈbæs fˈɑːr
فصل الخريف	fɒsd ælˈkæɾiːf
فصل الربيع	fɒsd lɒn ɾɒbiːjɒm
فصل الشتا	fosɫɯʃtʃɐtɐ
فصل الصيف	fɒsd lɪvˈ siːf
فضولي	fudulʲi
فضي	fodːi
فضّية	fabːɪ̞jjɑ
فطار	fˈtˈɔr
فظيع	faziʕ
فظيعة	faziːra
فـلاحين	fajˈʃaħiːn
فقط	fɑqɑt
فكس	fakas
فكهاني	fækːæːniː
فكَس	fakas
فكَّك	fokak
فلاح	fæˈlæh
فلامنجو	flamiko
فلامنك	fʲiɫæmɛnɪ̞k
فلان	foːlˈeːn
فلبيني	fˈɛlˈˈepini
فلسطين	fɛlɛstˈiːn
فلفل	fˈɛlˈfˈɛlˈ
فلفل شطة	fɛlfɛl ʃatːa
فلم	fˈɪlm
فلوس	flˈuːts
فلوكة	falukˈa
فمايصة	saˈmaisa
فنادق	feneide
فندق	fˈʊndo
فنزويلا	vɛnɛzwɛlɑ
فنلندا	senlanda
فهرنهايت	fˌɛhˈɾˈɛnhʌjt
فهلوة	fɑhlɑvɑ
فهلوي	flʊiː
فهم	fɪ̞hɪ̞m
فواتير	sɑwɑtʰiːr
فوانيس	fauɑnˈis
فوتك بعافية	futːak baʕafia
فوشيا	fuʃtɕe
فوطـَة	fudɔ
فوق	fɔː
فول	fɔːl
فول مدمس	ful mi dæmˈmɪs
فى	fˈiː
في	fˈi
في أي حتة	fiː ʔajatˤ
في السويس	fˈɛst sˈɔˈiz
في اي مكان	fiʔɑj mækæn
في سحاب	faːsˤɑħˈb
في كل ده	faiːkɔlʁɑ
في ناس كتير	fʲinʲetskʲi tʲir
فيتنام	fʲirɛknim
فيجي	fidʒi
فيران	fˈɛɾɛn
فيروز	fɛjɾˈuz
فيزياء	fɪzjɑ
فيزياء تطبيقية	faðijaːtadʔ iʕ
فيضان	fajˀalɔn
فيضانات	fajˀːaːt˥˩oːn˧ot
فيل	fˈil
فيلة	afeːla
فيلم	fˈɪlm
فين	θˈin
فين السنترال	fini sɛntɾɔn
فين الـ	feːn æl
فيه	fˈiːr
فيه حاجة حصلت	fiːħagː ħasˈlɑ
فيه حاجه ناقصة في المعلومات دي؟	fiː ħɑːg nɑsˈsˤɑf ælmæʕl mɪdˈi
فَصولية	fɑtsɔljɐ
فُرْن	forn
فُك	fok˨
فِتِك	fetˈik
قابلت	abltablɛt
قابلته	æbɪltoːʔablɪtoː
قابلتها	æbɪ̞ɫtæhæɑbɫɪ̞ð
قادر	ediɾ
قادم	qɑdim
قارة	qɒˈrɒ
قاصرة	asra
قاضي	odzj
قاعد	ˈænd
قاعدة	ɦɑʕdɑʔaʕdɑ
قاعدة (هي قاعدة)	ˈɑqdɑ hejˈɑ ˈɑqdɑ
قاعدين	aʁdˈin
قافل	æˈfˌl
قالت	ˈeɣlit
قالتلي	ʔɛnˈtˈti
قالولنا	ʔalun
قالي	ʔɑllˤ
قام	aɪ̞m
قامت	ˈɛmæt
قاموا	ɛmo
قاموس	avˈɑ̃z
قانون	qanˈvɑn
قباقيب	aːfʔiːm
قبرص	kˌɔmbɹʊs
قبطي	ʁœptˈik
قبقاب	oglɛndɑ
قبل	ˈblˈ
قبل امبارح	æblæm biːraħ
قدام	pɔdˈeːm
قدر	kɔdɔr
قراقوش	ɑrɑɔːʃ
قرايب	ɒɾɒˈjib
قرد	eɾɨtɯ
قرر	qɑrrɑr
قررت	qɑrɑrt
قررت (قَرَّرِت)	qarɑr ɛt
قررنا	qɒˈɾˈɒɾnˈɒˈ
قرش	ɪrʃ
قرفة	alfa
قرن	qɒˈɾini
قرنفل	oronfel
قرنَبيط	ɔʁnɔbjt
قرود	ruːd
قرون	quruːn
قريب	qɾa
قريبه	ɛribo
قريت	aɾe̞it
قسم شرطة	esmɪ̞ ʃʊ̞rtʊ̞
قسمة	esmˈa
قصايد	asaiːd
قصد	ast
قصدي	tɑzɑdi
قصف جبهة	kʰɒsb gəbɦe
قصيدة	æsidˈo
قصير	ɔsɑjɑr
قصيرة	ɔsɑjjɑrɑ
قصيرين	ogsˈajːɑrˈinː
قضاة	qɔdɑ
قط	tˈ
قطار	ɑt
قطب	otup
قطة	otːa
قطر	qɑtɑr
قطط	ɔtɔtˈ
قعد	ʔɑʕ
قلاية	ɛlɛja
قلب	qalb
قلبظ	kalbos
قلبه كبير	ælbkbiɾ
قلبها كبير	ælbaħak biːr
قلبهم كبير	ælbuhum kibir
قلة حيا وجهل وتفاهة	ælˈtˤħajg gæl gɑftæfɑːh
قلتلها	qɯ̞sʲtʲɪʔɑnɑpʔɯ̞sʔɑnɑpʔɑnɑmʔɯ̞sʔɑnɑp
قلعة	alaʕa
قلق	la
قلقان	ælʔæn
قلقانة	ælʔæn
قلم	ælæm
قلم جاف	əlˈmˈ gˈɛf
قلم حبر	ʔalɑm ħabˈr
قلم رصاص	alˈlaˈm rɔsɔs
قليل	uliaːl
قليلة	uliala
قمت	umt
قمر	ɑmɑr
قمر الدين	ɑmɑɾɛdːiːn
قميص	amˈis
قميص المدرسة	amiː siːlmædɯɾɑsɯn
قناة السويس	qɒːnæt swˈis
قناص	qɑnɑs
قنديل البحر	ɑnˈdiːr ælˈbɑħr
قنوات	qɔnɑwɛt
قنوات فضائية	qɑnɑwˈʔet fʔadɑ ʔejjɑ
قنوت	ɣ̞onˈut
قهاوي	æɦbɪ
قهوة	ɑhˈvɑ
قهوة تركي	ʔahvaturki
قهوة عربي	ʔahw ʕaʕrabi
قوات التّحالف	quaːaː ælˈtˤɑħælæf
قوالي	awili
قوام	aˈm
قواميس	oŋz
قوانين	qɔʔɑnɪːn
قوة	kʰua
قوس قزح	quʁsqazɑ
قولتي	ɔlti
قولون	qɔʁlɔːn
قولي	oli
قوم	qɐˈoːm
قومتوا	umto
قوموا	umum
قومي	koːˈmi
قيام	qijæm
قيام الليل	qijam ælˈliːl
قيامة	iema
قيرغيزستان	qɯ̞rqɪ̞stæn
قيوط	qajut
قَذِر	qɒzɒɾ
قَرَع عَسَلي	ˈɑrˈʕasˤl
قَصّ \ بِيقُصّ	as vˈiː ˈɔst
قَفْشَة، ج قَفْشَات	afʃa afaʃiʔt
قَفْل	ɑfˈl
قَلقان	ælʔæn
قَليل	alˈil
قَليلة	ɪlˈliːlˌa
قَلْعَة	æˈlæː
قَمَر صِناعِيّ	ɔmɔrˈsɪ nɔj
قَنّاصة	konnɛnˈsɑ̃
قَهاوي	ˈeɪhˈɛɹi
قَهوَة	ʔahvæ
قَهْوَجي	aˈhˈwˈdˈi
قُرَيِب	qɯ̞räjjɪ̞b
قُصاد	elssˈɔ̃d
قِسْم	e̞s
كأنك يا أبو زيد ماغزيت	kaː ʔinna kaːb zˈɪd mɑɣæzˈɪd
كابوريا	kaburja
كارت	kˈaɾt
كارتون	kɑɾtɔːn
كارتونة	kartɔna
