!	kɑŋ˥˥tn˥˩ kɑŋ˥˥
"apple"怎么说？	æpɪl˨ tsɑŋ˨˩˦mɤ˥˩ʂʰu˥˥
碼農	ma˥˧n˧
碼頭	ma˨˩˦tʰɔ˨˩˦
碾	njɛ˨˩˦
碾坊	nfɔː
磀	ə
磁体	sɯ˥˥ tʰi˨˩˦
磁共振成像	tsɯ˥˩ɕjɑŋ˥˩ʈʂʰɤŋ˧˥ɕjɑŋ˥˩
磁力	tsʰɯ˨˩˦li˨˩˦
磁化帆	tsʰɯ˨˩˦xwa˥˩fan˧˥
磁卡	tsʰɯ˨˩˦ kʰa˨˩˦
磁卡读写器	tsʰɤ˧˥kʰaɪ˨˩˦tu˥˥ɕjɛ˨˩˦tɕʰi˥˩
磁器	tsʰɯ˨˩˦ tɕʰi˥˩
磁器口	tsʰɯ˨˩˦ tɕʰi˥˩
磁场	tsʰɯ˨˩˦ʈʂʰɤŋ˧˥
磁场引力	tsʰɯ˨˩˦ ɕɪŋ˨˩˦˥li˥˩
磁場	tsʰɯ˨˩˦ʈʂʰɑŋ˧˥
磁子	tsʰɯ˨˩˦tsɯ˨˩˦
磁带	tsʰɯ˨˩˦ taɪ˥˩
磁带卡	tsʰɯ˨˩˦ taɪ˥˩kʰa˨˩˦
磁性	tsʰɯ˨˩˦ ɕɪŋ˥˩
磁性白板	tsʰɯ˨˩˦ tɕɪŋ˥˩ paɪ˧˥pan˨˩˦
磁悬浮	sɯ˥˥ sɯ˥˥u˧˥ ʂu˨˩˦
磁悬浮列车	tsʰɯ˧˥wɑŋ˧˥lɤ˥˩ ʈʂʰɤ˥˥
磁极	tsʰɯ˧˥
磁浮	tsʰɯ˨˩˦fu˧˥
磁浮列車	tsʰɯ˧˥ fu˧˥ljɛ˥˩ ʈʂʰɤ˥˥
磁灶	tsʰɯ˨˩˦ʈʂɑʊ˥˩
磁盘	tsʰɯ˨˩˦pʰan˧˥
磁矩	tsʰɯ˨˩˦tɕy˨˩˦
磁石	sɯ˧˥ʂɚ˧˥
磁石引针，琥珀拾芥	tsʰɯ˨˩˦ʂɚ˧˥ɪn˨˩˦ʈʂən˥˥xu˨˩˦pʰɤ˥˩ ʂɚ˧˥
磁石能吸钢铁	tsʰɯ˨˩˦ʂɚ˧˥ nɤŋ˧˥kɑŋ˥˥ tʰjɛ˨˩˦
磁碟	tsʰɯ˨˩˦tjɛ˨˩˦
磁磚	tsʰɯ˨˩˦ ʈʂʰwan˥˥
磁道	tsʰɯ˨˩˦ ttɕi˥˩
磁鐵	tsʰɯ˨˩˦ tʰjɛ˨˩˦
磁铁	tsʰɯ˨˩˦tʰjɛ˨˩˦
磅	pɑŋ
磅礴	pʰaŋ˨˩pɔ˨˦
磅秤	pɑŋ˨˩˦ʈʂɤŋ˥˥
磅重	ppŋ˥˩ ʈʂʊŋ˥˩
磊	lɪ˧˥
磊落	luɔ˨˩˦
磋	ʈʂ
磋商	tsʰuɔ˥˥ʂaŋ˥˥
磔	tɤ˧˥
磔刑	ʈʂɤ˧˥ɕɪŋ˧˥
磔禳	ʈʂɤ˧˥tɕjɛ˥˥ʐɤ˧˥
磕	kɤ˥˩
磕头	kɔ˥˥tʰɤ˧˥
磕巴	kɔba
磕打	kɤ˥˥ tɑ˨˩˦
磕碜	kɤ˥˥ʈʂən˨˩˦
磕碰	kʰɤ˥˥pɤŋ˨˩˦
磕磕	kɤ˥˥kɤ˥˥
磕磕巴巴	kʰɤ˥˩ pa˥˥pa˥˥
磕磕碰碰	ɔːkʰɔːpʰŋ˥pʰŋ˥
磕磣	koːɹtɪd
磕袂著	kabe˥˧tiʊ˨˩˦ kʰa˥˥e˥˧ty˥˩ʰu˥˧
磕頭	kʰɤ˥˥tʰoʊ˨˩˦
磚	ʈʂan˥˥
磚堆	tɕʰjt̚˨˩wɔː˨
磚家	ʈʂʰwan˥˥tɕja˥˥
磚瓦	tɕjɛn˥˥
磚頭	tʰɔː
磝	aʊ˨˩˦
磠	lo
磨	mˌaː
磨丁	mɔ˥˥
磨不开	mua˨˦pu˥˧kʰai˥˥
磨刀	voʁɨtaːl
磨刀不误砍柴功	mɔ˧˥ tɑʊ˥˥pɯ˧˥u˥˩ kʰan˨˩˦ ʈʂʰaɪ˧˥kʊŋ˥˥
磨刀霍霍	mɔ˧˥ tɑʊ˥˥xuɔ˥˩xuɔ˥˩
磨削	mʊ˧˥ɕjɑʊ˥˥
磨削加工	mɔ˧˥ɕjɑʊ˥˥ʈʂa˥˥kʊŋ˥˥
磨叨	mʊˈɑːtɑː
磨叽	mɫadzʲi
磨合	mɔ˥˩xɤ˧˥
磨唧	matsi
磨子	muɔ˥˩tsɯ˧
磨憨	mɔ˥˩
磨成粉	mɔː˧˥ʈʂʰɤŋ˧˥ fən˨˩˦
磨损	mɔ˥˩ʂu˨˩˦n˧
磨損	mʊ˧˥suən˨˩˦
磨料	mu˥˩ aljoʊ˥˩
磨杵成针	mɔ˧˥ʈʂʰu˨˩˦ʈʂʰɤŋ˧˥ʈʂən˥˥
磨洋工	mɔ˧˥
磨滅	mɔː mjɛn
磨灭	mˈoːmˈiːɛ
磨炼	mɔ˥˧lian˨˦
磨烦	mʊ˥˩ʊ˨˩˦ʊ˨˩˦ʊ˨˩˦
磨牙	moja
磨皮	migˈ
磨盘	mɔ˥˩
磨石	mɔ˥˩ʂu˨˩˦
磨破	mɔ˥˩pʰu˥˩
磨破了	mɔ˧˥pʰuɔ˥˩la˥˥
磨破口舌	mɔ˧˥pɔ˥˥ kʰoʊ˨˩˦ʂɤ˧˥
磨碎	mɔ˥˥sueɪ˥˧
磨碎器	mɔ˧˥ɕtɕʰi˥˩
磨碎的奶酪	mɔ˧˥ɕʂweɪ˥˩ tnaɪ˨˩˦lau˥˩
磨磨唧唧	m˥˩ɑ˥ tɕi˥˥ tɕi˥˥
磨磨蹭蹭	mɯːʔmɯ̄ːʔtsʰŋ˧tsʰŋ˧
磨磨蹭蹭做什么	mɔ˧˥mɔ˧˥˥ tsʰɤŋ˥˩ʈʂu˨˩˦tsuɔ˥˩ʂən˨˩˦mɤ˧
磨穿铁砚	mɔ˧˥ʈʂʰwan˥˥tʰjɛ˨˩˦jɛn˥˩
磨粒	m˨˩˦u˨˩˦li˨˩˦
磨練	mɔːlian˨˩˦
磨练	lˌoːtˈiən
磨耗	m˥˩ɑ˨
磨耗率	mʊ̞ːʊ̞rɑʊ̞liː
磨耗量	m˨˩hoʊ˥˥liãn˨˦
磨蚀	mɔ˧˥ʂɚ˧˥
磨蝕	mɔ˥˩ʂy˨˩˦
磨豆	mɔtaˈɔ
磨豆机	mɔ˧˥t tɕi˥˥
磨豆腐	mɔ˧˥tʰau˥˩fu˧˥
磨蹭	mwa˥˧tsʰaʔ˨
磨鉢	mɔːpɔ
磨难	mu˨˩˦a˥˥na˥˩
磲	tʃu
磷	lɪŋ˧˥
磷光	ningkwan
磷火	lɪŋ˧˥xuɔ˨˩˦
磷肥	lĩŋ˨˩fʰeɪ˧˥
磷脂	lɪn˧˥ʈʂɚ˥˥
磷酸	lĩŋ˨˩sʰuan˥˥
磺胺	xwɑŋ˧˥an˥˥
礁	tio˨˦
礁石	tɕjɑʊ˥˥ʂɚ˧˥
礃	ʈʂaŋ˨˩˦
礎	ʈʂʰu˥˩
礐	tɕʰɥœ˥˥
礘	œ̃
礙口	aɪ˥˥kɔ˨˩˦
礙於	aɪ˥˩y˧˥
礤冰	tsʰuaʔ˨pĩŋ˨˩
礤床	tsʰa˥˩ʈʂʰwɑŋ˧˥
礦	kwaŋ˥˥
礦井	kʰw˥˥aŋ˨˩tseŋ˨˩
礦業	kʰwɑŋ˨˩˦
礦泉水	kwɑŋ˨˩˦tɕʰɥœn˧˥ʂweɪ˧˥
礦物油	kʰw˥˩ɯ˥˩ joʊ˨˩˦
礦產	kʰwɑŋ˥˩ ʈʂʰa˥˥ən˧˥
礦石	kʰoŋ˨˩˦ʂɚ˨˩˦
礦藏	kʰw˥˥aŋ˨˩˦tsʰaŋ˥˥
礦車	kwɑŋ˥˩ʈʂʰɤ˥˥
礨空	leɪ˨˩˦kʰʊŋ˥˥
礬	fãːn
礬土	fãn˨˩t˥uː
礬石	san˩˦ʂɚ˧˥
示	ʂɚ˥˩
示下	ʂɚ˥˩ɕja˥˥
示例	ʂɚ˥˩li˥˩
示威	ʂɚ˥˩weɪ˥˥
示威学生	ʂɚ˥˩ weɪ˥˥ɕɥœ˧˥ ʂɤŋ˥˥
示威活动	ʂɚ˥˩ weɪ˥˥xuɔ˧˥tʊŋ˨˩˦
示威游行	ʂɚ˥˩ weɪ˥˥joʊ˧˥ɕɪŋ˧˥
示威者	ʂɚ˥˩  ʈʂɤ˨˩˦
示威遊行	ʂɚ˥˩ ɕɪŋ˧˥
示字旁	ʂɚ˥˩ tse˨˩˦
示弱	ʂɚ˥˩ ʐuɔ˥˩
示恩	ʂɚ˥˩ən˥˥
示意	ʂɚ˥˩ i˥˩
示意图	ʂɚ˥˩ʂɚ˥˩i˥˩
示爱	ʂɚ˥˩ aɪ˥
示现	ʂɚ˥˩ ɕjɛn˥˥
示範	ʂɚ˥˩fan˨˩˦
示范	ʂɚ˥˩fan˥˩
礻	ʂɚ˥˩
礼	liː
礼 仪	li˨˩˦i˨˩˦
礼义	li˨˩˦i˥˩
礼义廉耻	li˨˩˦i˥˩
礼之用、和为贵。	li˨˩˦ʈʂɚ˥˥xɤ˧˥  kweɪ˥˩
礼乐	ljɛ˥˩
礼仪	li˨˩˦
礼仪之邦	li˨˩˦i˧˥ʈʂɚ˥˥pɑŋ˥˥
礼佛	lɪ˨˩˦fu˧˥a˥˧
礼先一饭	li˨˩˦ɕjɛn˥˥i˧˥
礼制	li˨˩˦ʈʂɚ˥˩
礼券	li˨˩˦tɕʰɥœn˨˩˦
礼包	li˨˩˦pɔ˥˥
礼单	li˨˩˦tan˥˥
礼品	lˈipˈis
礼品卡	li˥˥pʰɪŋ˧˥ kʰa˨˩˦
礼品店	li˨˩˦pɪŋ˨˩˦tjɛ˥˩
礼器	ɑʊ˥˥tɕʰi˥˩
礼堂	li˨˩˦tʰa˧˥
礼多人不怪	hŋ˨˩˦ tɤ˧˥ u˨˩˦ku˨˩˦la˥˥
礼宾车	li˨˩˦
礼尚往来	li˨˩˦ʂɑŋ˥˩lɑŋ˨˩˦laɪ˧˥
礼崩乐坏	li˨˩˦pɤŋ˥˥yɤ˥˩xwan˥˩
礼帽	lˈiːtˌeˈɛ
礼拜	li˨˩˦
礼拜一	li˨˩˦pɛ˥˥i˨˩˦i˥˩
礼拜一，名词，周一，星期一	li˨˩˦pɛ˥˥i˥˥mɪŋ˧˥tsʰɯ˨˩˦ ʈʂoʊ˥˥i˥˥ɕɪŋ˥˥tɕʰi˥˥i˥˥
礼拜三	li˨˩˦aŋ˥˥baɪ˥˩ san˥˥
礼拜二	li˨˩˦paɪ˥˩aɻ˥˩
礼拜五	li˨˩˦baɪ˥˩u˨˩˦
礼拜六	ti˥˩paɪ˥˩ljoʊ˥˩
礼拜四	li˨˩˦paɪ˥˩ sɯ˥˩
礼拜天	ni˨˩˦aɪ˥˥tʰjɛn˥˥
礼拜日	li˨˩˦ paɪ˥˩ ʐɚ˥˩
礼数	li˨˩˦ʂu˥˩
礼服	li˨˩˦fu˧˥
礼来	ni˥˩laːj˥˩
礼法	l˧i˨˩˦fa˨˩˦
礼炮	li˨˩˦pʰaʊ˥˩
礼物	li˨˩˦u˥˩
礼盒	li˨˩˦xɤ˧˥
礼节	li˨˩˦tɕjɛ˧˥
礼节性	li˨˩˦tɕjɛ˧˥ɕɪŋ˥˩
礼花	li˨˩˦xwa˥˥
礼让	li˨˩˦ʐɤŋ˥˩
礼记	li˨˩˦tɕi˥˩
礼貌	lə- mˈɑ̃
礼貌待人	li˨˩˦mɑʊ˥˩taɪ˥˩ʐən˧˥
礼貌用语	li˨˩˦ ma˥˩ʐʊŋ˥˩y˧˥
礼贤下士	li˨˩˦ ɕjɛn˧˥ɕja˥˩
礼赞	li˨˩˦tsan˥˩
礼轻情意重	li˨˩˦tɕʰɪŋ˥˥tɕʰɪŋ˧˥ i˥˩
礼遇	li˨˩˦yː˩˦
礼部	li˨˩˦pu˥˩
礼部尚书	li˨˩˦pu˥˩ ʂɑŋ˥˩ʂu˥˥
礼金	li˨˩˦tɕɪn˥˥
社	ʂɤ˥˩
社交	ʂɤ˥˩tɕjɑʊ˥˥
社交圈	˥ʂɤ˥˩tɕjɑʊ˥˥tɕʰɥœn˥˥
社交媒体	ʂɤ˥˩tɕjɑʊ˥˥meɪ˧˥
社交恐惧症	ʂɤ˥˩tɕjɑʊ˥˥kʰʊŋ˨˩˦tɕy˥˩ ʈʂɤŋ˥˩
社交焦虑症	ʂɤ˥˩ tɕjɑʊ˥˥  tɕjɑʊ˥˥ly˥˩ ʈʂɤŋ˥˩
社交网站	ʂɤ˥˩tɕjɑʊ˥˥wɑŋ˨˩˦ ʈʂan˥˩
社交网络	ʂɤ˥˩ tɕjɑʊ˥˥wɑŋ˨˩˦lɔ˥
社交能力	sɤ˥˩tɕjɑʊ˥˥lən˧˥li˥˩
社交距离	ʂɤ˥˩tɕjɑʊ˥˥tɕy˥˩li˧˥
社交距離	ʂɤ˥˩tɕjɑʊ˥˥tɕy˥˩li˧˥
社会	ʂɤ˥˩xweɪ˥˩
社会主义	ʂɤ˥˩xweɪ˥˩ʈʂu˨˩˦ i˥˩
社会主义共和国	ʂɤ˥˩xweɪ˥˩ʈʂkʊŋ˥˩xɤ˧˥
社会主义制度	ʂɤ˥˩xweɪ˥˥ ʈʂu˨˩˦ i˧˥ʈʂɚ˥˩tu˥˩
社会主义制度终究要代替资本主义制度。	ʂɤ˥˩xweɪ˧˥ʈi˨˩˦ʈʂʈtju˥˩ʈʂ tjɑʊ˥˥ ttpən˨˩˦ʈʂu˨˩˦i˨˩˦ʈʂɚ˥˩tu˥˩
社会主义国家	ʂɤ˥˩xweɪ˥˩ʈi˧˥  kuɔ˧˥tɕja˥˥
社会主义思想运动	ʂɤ˥˩xweɪ˥˩ʈʂusi˥˥ɕjɑŋ˨˩˦yn˥˩tʊŋ˥˩
社会主义教育运动	ʂɤ˥˩xweɪ˥˩  i˥˩ ɕyn˥˩tʊŋ˥˥
社会主义新农村石家庄试点	ʂɤ˥˩xweɪ˥˩ʈi˨˩˦ ɕin˥˥nɤŋ˧˥tsʰuən˥˥ tɕja˥˥ʈʂwɑŋ˥˥ʂɚ˥˩ljɛ˨˩˦
社会主义核心价值观	ʂɤ˥˩xweɪ˧˥ʈi˥˩ xɤ˧˥ ɕɪn˥˥ʈʂjɛ˥˩ʈʂkwan˥˥
社会主義国家	ʂɤ˥˩xweɪ˥˩ʈi˥˩ kuɔ˧˥tɕja˥˥
社会人士	ʂɤ˥˩xweɪ˥˩  ʂɚ˥˩
社会保障	ʂɤ˥˩xweɪ˥˩ pɑʊ˨˩˦ʈʂ
社会保障制度	ʂɤ˥˩xweɪ˥˩ pɑʊ˨˩˦ ʈʂɚ˥˩tu˥˩
社会信用体系	ʂɤ˥˩xweɪ˥˩ ɕɪŋ˥˩ tʰi˨˩˦ɕi˥˩
社会关注	kɤ˥˩ xweɪ˥˩ kwan˥˥
社会冲突	ʂɤ˥˩xweɪ˨˩˦ ʈʂʰʊŋ˥˥tʰu˧˥
社会凝聚力	ʂɤ˥˩xweɪ˥˩ n
社会制度	ʂɤ˥˩xweɪ˥˩ tʂɚ˥˩tu˥˩
社会动荡	ʂɤ˥˩xweɪ˥˩ tʊŋ˥˩ tɑŋ˥˩
社会历史	ʂɤ˥˩xweɪ˥˩ li˥˩ ʂ
社会名人	ʂɤ˥˩xweɪ˥˩ mɪŋ˧˥ʐən˧˥
社会和谐	ʂɤ˥˩xweɪ˥˩ xɤ˧˥ɕjɛ˨˩˦
社会地位	ʂɤ˥˩xweɪ˥˩ ti˥˩weɪ˥˩
社会学	ʂɤ˥˩xweɪ˥˩ɕɥœ˧˥
社会学家	sɤ˥˩xweɪ˥˩ tɕja˥˥
社会学者	ʂɤ˥˩xweɪ˥˩ɕɥtɕjɛ˨˩˦ʈʂuɔ˧˥
社会学说	ʂɤ˥˩xweɪ˥˩ɕʂ
社会实践	ʂɤ˥˩xweɪ˥˩ʂɚ˧˥tɕjɛn˥˩
社会实验	ʂɤ˥˩xweɪ˥˩ʂɚ˧˥jɛn˥˩
社会工作	ʂɤ˥˩xweɪ˥˩ kʊŋ˥˥tsuɔ˥˩
社会工作文学	ʂɤ˥˩xweɪ˥˩kʊŋ˥˥tsuɔ˥˩uən˧˥ɕɥɛn˧˥
社会工作文学硕士	ʈʂɤ˥˩xweɪ˥˩  ʂuɔ˥˩ ʂɚ˥˩
社会弱势群体	ʂɤ˥˩xweɪ˥˩ ʐuɔ˥˩ ʂɚ˥˩  tɕi˧˥
社会形态	ʂɤ˥˩xweɪ˥˩ tɕɪŋ˧˥tʰaɪ˥˩
社会性	ʂɤ˥˩xweɪ˥˩ɕɪŋ˥˥
社会性死亡	ʂɤ˥˩xweɪ˥˩ sɯ˥˥ w
社会意识	ʂɤ˥˩xweɪ˥˩ i˥˩ʂɚ˨˩˦
社会支持	ʂɤ˥˩xweɪ˥˩ ʈʂɚ˧˥
社会改造	ʂɤ˥˩xweɪ˥˩ kaɪ˨˩˦tsɑʊ˥˩
社会政治	ʂɤ˥˩xweɪ˥˩ tʈʂɤŋ˥˩ʈʂɚ˨˩˦
社会效益	ʂɤ˥˩xweɪ˥˥ɕɪŋ˥˥ʂ
社会服务	ʂɤ˥˩xweɪ˥˩ fu˧˥u˥˩
社会正义	ʂɤ˥˩xweɪ˥˩ tʈʂɤŋ˥˩i˥˩
社会活动	ʂɤ˥˩xuɔ˧˥tʊŋ˨˩˦
社会环境	ʂɤ˥˩xweɪ˥˩xwan˧˥ tɕɪŋ˥˩
社会现象	ʂɤ˥˩xweɪ˥˩ɕjɛn˥˩ɕjɑŋ˥˩
社会現象	ʂɤ˥˩xweɪ˥˩ɕjɛn˥˩ɕjɑŋ˥˩
社会理论	ʂɤ˥˩xweɪ˥˩ li˨˩˦lɤŋ˥˩
社会生产力	ʂɤ˥˩xweɪ˥˩ʂɤŋ˥˥ʈʂli˥˩
社会生活	ʂɤ˥˩xweɪ˥˩ʂɤŋ˥˥xuɔ˧˥
社会矛盾	ʂɤ˥˩xweɪ˥˩ tɯn˥˩
社会研究	ʂɤ˥˩xweɪ˥˩ jɛn˧˥
社会福利	ʂɤ˥˩xweɪ˥˩ fu˧˥li˨
社会科学	ʂɤ˥˩xweɪ˥˩ kɔ˨ɕ
社会秩序	ʂɤ˥˩xweɪ˥˩ ʈʂɚ˥˩
社会经济	ʂɤ˥˩xweɪ˥˩ tɕɪŋ˥˥tɕi˥˩
社会经济发展	ʂɤ˥˩xweɪ˥˩ tɕɪŋ˥˥tfa˥˥ʈʂan˨˩˦
社会结构	ʂɤ˥˩xweɪ˥˩ ttɕjɛ˧˥koʊ˥˩
社会行为	sɤ˥˩xweɪ˥˩
社会设计	ʂɤŋ˥˩ ʂɤŋ˥˩
社会资源	ʂɤ˥˩xweɪ˥˩ tsɯ˥˥
社会运动	ʂɤ˥˩xweɪ˥˩yn˨˩˦tʊŋ˨˩˦
社会问题	ʂɤ˥˩xweɪ˥˩ wən˥˩tʰi˧˥
社保	tʃɤ˥˩ ba˥˩˦
社区	ʂɤ˥˩
社区大学	ʂɤ˥˩tɕʰy˥˥ tɑŋ˥˩ɕɥœn˧˥
社區	ʂɤ˥˩
社员	ʂɤ˥˩ɥœn˧˥
社团	ʂɤ˥˩tʰwan˧˥
社团活动	ʂɤ˥˩ʈʂʰwan˧˥  tʊŋ˥˩
社团管理司	ʂɤ˥˩tʰwan˧˥kwan˨˩˦li˨˩˦ sɯ˥˥
社園里	ʂɤ˥˩ɥœn˧˥li˨˩˦
社團	ʐɤ˥˩tswan˥˥
社子	ʂɤ˥˩tsɯ˧
社子里	ʂɤ˥˩tsɯ˧li˧˥
社工	ʂɤ˥˩kʊŋ˥˥
社店	ʂɤ˥˩ tjɛn˥˩
社恐	ʂɤ˥˩kʰʊŋ˨˩˦
社新里	ʂɤ˥˩ɕɪŋ˥˥li˨˩˦
社會	sɤ˥˩xweɪ˥˩
社會主義	sɤ˥˩xweɪ˥˩ʈ
社會主義核心價值觀	ʂɤ˥˩xweɪ˥˩tsu˨˩˦i˥˩ xɤ˧˥ tsjɑ˥˩ kwan˥˥
社會人	ʂɤ˥˩xweɪ˥˩ ʐən˧˥
社會住宅	ʂɤ˥˩xweɪ˥˩ʈʂu˥˩tsʰaɪ˧˥
社會信用體系	ʂɤ˥˩xweɪ˥˩ sin˥˩ tʰi˨˩˦ɕi˥˩
社會制度	ʂɤ˥˩xweɪ˥˩ tʈu˥˩
社會壓力	ʂɤ˥˩xweɪ˥˩ ja˥˩ li˥˩
社會學	sɤ˥˩xweɪ˥˩ɕɥœ˧˥
社會寫實片	ʂɤ˥˩xweɪ˥˩ɕjɛ˨˩˦ʂɚ˧˥pʰjɛn˥˥
社會工作者	ʂɤ˥˩xweɪ˥˩ kʊŋ˥˥tsuɔ˥˩ʈʂɤ˨˩˦
社會徵信系統	ʂɤ˥˩xweɪ˥˩ ʈʂɤŋ˥˥ɕɪn˥˥ɕi˥˩tʰʊŋ˨˩˦
社會心理學	sɤ˥˩xweɪ˥˩ ɕɪŋ˥˥li˨˩˦ɕ
社會民主	ʂɤ˥˩xweɪ˧˥ ʈʂu˨˩˦
社會矛盾	ʂɤ˥˩xweɪ˥˩mɑʊ˨˩˦ʂuɔ˥˩tuən˥˩
社會科學	ʂɤ˥˩xweɪ˥˩ kɔ˨ɕ
社會議題	sɤ˥˩xweɪ˥˩ i˥˩tʰi˧˥
社會距離	ʂɤ˥˩xweɪ˥˩ tɕy˥˩li˧˥
社會運動	sɤ˥˩xweɪ˥˩yn˥˩tʊŋ˨˩˦
社會黨	sɤ˥˩xweɪ˥˩ tɑŋ˨˩˦
社核价	ʂɤ˥˩xɤ˧˥
社民党	ɕʰɤ˥˩mɪn˧˥ʈʂɑŋ˨˩˦
社畜	ʂɤ˥˩ʈʂʰu˥˥
社科	ʂɤ˥˩kɔ˨
社科院	ʂɤ˥˩kɔ˨ɥœn˥˩
社稷	ʂɤ˥˩ʈʂi˥˩
社稷有累卵之危	ʂɤ˥˩tkoʊ˨˩˦  luən˧˥ʈʂɚ˥˩weɪ˥˥
社群	ʂɤ˥˩tɕʰyn˧˥
社論	sɤ˥˩luən˥˩
社论	ʂɤ˥˩lən˥˩
社评	ʂɤ˥˩pʰɪŋ˧˥
社距	ʂɤ˥˩tɕy˥˩
社運	ʂɤ˥˩yn˥˩
社長	ʂɤ˥˩ʈʂ
社长	ʂɤ˥˩ʈʂa˧˥
社頭	ʂɤ˥˩tʰoʊ˨˩˦
社鼷	ʂɤ˥˩ɕi˥˥
祀	sɯ˥˩
祀物	sɯ˥˩u˥˩
祀神	sɯ˥˩ ʂən˧˥
祁	tɕʰi˧˥
祁国	ɕi˥˥ kuɔ˧˥
祁家威	tɕja˥˥
祁寒	tɕʰi˧˥xan˨˩˦
祁连山脉	tɕʰi˧˥ ʂan˥˥mʰɛn˥˩maɪ˥˩
祁連山	tɕʰi˧˥ljɛn˧˥ʂan˥˥
祁門	tʰi˥˥y˧˥
祁門紅茶	tɕʰi˧˥mən˧˥
祁門縣	tɕʰi˧˥mən˧˥ʂjɛn˥˩
祁门	tʰiː˥˧ mən˨˩˦
祁门红茶	mən˧˥hʊŋ˨˩˦ʈʂʰa˧˥
祅怪	tiaʊ˥˥kwi˥˥
祆	dˌiːzə
祇	ʈʂɚ˨˩˦tɕʰi˧˥
祇树给孤独园	ʈʂɚ˨˩˦ʂu˥˩ tɕi˨˩˦ tɤ˥˩ɥœn˧˥
祇樹給孤獨園	tɕʰi˨˩˦ʂu˥˩ tɕi˨˩˦klu˥˥toɯ˧˥ɥœn˧˥
祈	tɕʰi˧˥
祈年	tɕʰi˧˥n
祈年殿	tɕʰi˧˥njɛn˧˥tjɛn˨˩˦
祈望	tsʰɯ˨˩˦ wɑŋ˥˩
祈求	si˨˩tɕjoʊ˨˩˦
祈祷	tɕʰi˧˥tɑʊ˨˩˦
祈福	tɕʰi˧˥ fu˧˥
祈福禳災	tɕʰi˧˥ fu˧˥ʐa˥˧tsaɪ˥˥
祈禱	tɕʰi˧˥tɑʊ˨˩˦
祈禳齋醮	tɕjɛ˧˥ ʐɑŋ˧˥ʈʂaɪ˥˥tɕjɑʊ˥˩
祈請	tɕʰi˧˧tsʰiŋ˨˩˦
祎轩	i˥˩
祐安	joʊ�an˥˥
祐那	jo˥˩
祓	fou˥
祓濯	ʂu˨˩˦
祓禊	fu˧˥ɕi˥˩
祓除	fu˧˥ʈʂʰu˧˥
祓除不祥	pu˥˩
祔	fu˥˩
祖	tsu˨˩˦
祖产	tsu˨˩˦ʈʂan˨˩˦
祖先	tsu˨˩˦sjɛn˥˥
祖冲之	tsu˨˩˦ʈʂʰʊŋ˥˥ʈʂɚ˥˥
祖咏	tsu˨˩˦jʊŋ˨˩˦
祖国	tsu˨˩˦kuɔ˧˥
祖国党	tsu˨˩˦kuɔ˧˥ tɑŋ˨˩˦
祖國	tsu˨˩˦kuɔ˧˥
祖坟	tsu˨˩˦fən˥˥
祖孙	tsu˨˩˦suən˥˥
祖孙三代	tsu˨˩˦sun˥˥san˥˥ ta˥˩
祖安	tsu˨˩˦an˥˥
祖宗	tsu˨˩˦tsu˨˩˦
祖宗八辈	tsu˨˩˦zʊŋ˧˥pa˥˥
祖宗十八代	tsu˨˩˦tsʊŋ˥˥ʂɚ˧˥pa˥˥ taɪ˥˩
祖宗崇拜	tsu˨˩˦tsʊŋ˥˥ʈʂʊŋ˥˩paɪ˥˩
祖居	tsu˨˩˦
祖师	tsu˨˩˦ʂɚ˥˩
祖师爷	tsu˨˩˦ʂɚ˥˩
祖庙	tsu˨˩miaʊ˥˩
祖暅	tsu˨˩˦kɤŋ˥˥
祖母	tsu˨˩˦
祖母每天早晨用玉米喂鸽子	tsu˧˥mu˨˩˦mtʰjɛn˥˥tsɑʊ˨˩˦ʈʂʰən˧˥jʊŋ˥˩y˥˩mi˨˩˦ kɤ˥˥tsɯ˧
祖母绿	tsu˧˧ mɯ˨˩˦ ly˥˩
祖沖之	tsu˨˩˦ʈʂʰʊŋ˥˥ʈʂɚ˥˥
祖父	tsu˨˩˦su˥˩
祖父母	tsu˨˩˦fu˥˩mɯ˧˥
祖父的年龄比我大五倍	tsu˨˩˦fu˥˩  ni˨˩˦lɪŋ˨˩˦ pi˨˩˦uɔ˧˥ ta˥˩u˨˩˦peɪ˥˩
祖祖孙孙	tsu˨˩tsu˨˩sun˥˥
祖祖辈辈	tsu˧˥tsu˧˥peɪ˥˩peɪ˥˩
祖籍	tsu˨˩˦
祖语	tsu˨˩˦y˨˩˦
祖辈	tsou˨˩beɪ˨
祖逖鞭	tsu˨˩˦tʰi˥˥pjɛn˥˥
祖魯語	su˥˩
祖鲁语	tsu˨˩˦lu˨˩˦y˨˩˦
祖龍	tsu˨˩˦lɔ˥ŋ˧˥
祖龙	tsu˨˩˦lʊŋ˧˥
祗應	ʈʂɚ˥˥ɪŋ˥˩
祛	ʃˈy
祛暑	tɕʰy˥˥ʂu˨˩˦
祛疑	tsʰy˥˥
祛痘	tɕʰy˥˩ tʊ˥˩
祛除	tɕʰy˥˥ʈʂʰu˧˥
祛风	tɕʰy˥˥fɤŋ˥˥
祛魅	tɕʰy˥˥ meɪ˥˩
祜	xu
祝	tʃuː
祝你	ʈʂu˥˩ni˨˩˦
祝你中秋快乐	ʈʂu˥˩ni˨˩˦ʈʂʊŋ˥˥tɕʰjoʊ˥˥ kʰuaɪ˥˩ lɤ˥˩
