!אמרתי לך	ʔɑmɑː tilaħ
!ברכותינו	ilkoteˈnu
!גָּדוֹל	gadoʎ
!הַפְסֵק להיות ארגנטינאי	aːfsɾk lɛjhiːt ɑlgɛntinaj
!הדרך	atðʁɛjx
!הפעל	af˨eːl
!יש חדשות באתר	neʃt xaˈdæʃ ʃæt baʔtɑːm
!כי בא אורך, קומי אורי	kwaː ɔʁiʁ kɔm on
!תּוֹדָה	tata
עשרת אלפים	ˈaːseʁet haʁˈafim
עשרת הדברות	a seɾ tʃiːbɾoːt
עשרת הדיברות	æs sɢæt ħadɪ buːɾɒt
עשרת ימי תשובה	asjaɾet jemɛtʃɔvɑ
עשתה	basta
עשתונות	aʃtunat
עשתונותיו	aiʃtonotavo
עשתר	aiʃtˈaɛ
עשתרת	aʃtʊrˈɛt
עת	e̞t
עתּי	itˈti
עתה	aːkːtə
עתונאי	tonai
עתונאית	eɪtˈonˈɑtˈɛ
עתונות	iːtɒnˈuːt
עתיד	atːˈid
עתידה	ʔatida
עתידי	atidi
עתידיים	atːidiːʒim
עתידים	mʌttɪdim
עתידנות	atˈidanˈot
עתיה	aːtəja
עתים	estim
עתיק	ətik
עתיק יומין	atik joˈgim
עתיקות	bʁˈaːtkʰoːˈtæ
עתיקים	atikim
עתיר קלוריות	la tˈe œ̃n kalˈoɾiːt
עתירה	ɑːtˈiɣa
עתלי	atlai
עתליה	atəliɑ
עתלית	atlˈit
עתני	ɔtni
עתניאל	oːtniːeːl
עתק	aˈtˈik
עתר	atːˈa
ף	pˈɛisʊfˈiʲt
פ	fˈe
פ"א	p
פְּדוּאֵל‎	pedwˈɛl
פְּלִשְׁתִּי	pliʃti
פְּלִשְׁתִּים	pliʃtɪm
פְּנַאי	pnɑi̯
פְּנוּאֵל	pɛnɔɛl
פְּסָחִים	psuχĩn
פְּצָצָה	btsɛtsɑ
פְלֵשׁ	flˈɛʃ
פְקוּדֵי	pˌekudeɪn
פְרִישׁוּת	pˌaːɾˈekʃˈut
פְרוֹנְט	fɾɒnt
פְשׁוּטוֹ כְּמַשְׁמָעוֹ	fʃutok xak maʃmaw
פִּגְיוֹן	pigion
פִּטְרִיָּה	fiʈuja
פִּיל	fil
פִּילֶגֶשׁ	gilˈɫeˈgiz
פִּינְגְּוִין	fˈɛngˌuɪn
פִּינוֹת	pinˈot
פִּלְפֵּל	kipˈɛl
פִּלְפֵּל אָדֹם	pil pɛl adom
פִּסְּחִים	pˈˈɛ̃ˈʃˈɛ
פִּרסוֹמֶת	tʃiːzisɔmɛt
פִּרסוּם	peˈɛsum
פִּתגָם	pidgɑm
פִיזִיקָה	fizika
פִילְטֶר	filtɛr
פִילֶה	file
פִילוֹסוֹף	fˈilosˈ
פִילוֹסוֹפִית	fˈilosˈsofˈik
פִינַנְסִי	finantsi
פִינַנְסִים	fˈɛnsi
פִינַנְסִית	fĩːnãn̪tsid
פִיסְטוּק	festʃo
פִיקְטִיבִי	fiktivi
פִיקְטִיבִית	fikt̪ivit̪
פִירְמָה	firmɑ
פִלּוּחַ	flˈuːɑh
פִסְפוּס	fisfos
פִסֵּחַ	pˈisˈɛˈaʁˈ
פִרפורֶ פרוזדורי	piɾpˈo pɾˈozdˈoɾi
פֵּא	pɛ
פֵדֵרָלִי	fideɣˈali
פֵדֵרָלִית	fed
פֵמִינִיסְט	fɛminɪst
פֵמִינִיסְטִית	famɪnɪstɪd
פֶּטְרוֹזִילְיָה	kɛtkɔziʎe
פֶּטְרוֹס	petruʃ
פֶּטֶל	fˈɛkːtˈl
פֶּטֶל שָׁחֹר	feteˈl ʃaχoː
פֶּסַח	fˈesˈaː
פֶּרֶק	fˈɛʁˌk
פֶּרֶק-זְמָן	feɾˈekzˈmˈɑn
פֶלַח	plax
פֶסְטִיבָל	fɛstival
פֶרק	pˈeɾek
פַּטִּישׁ	bˌɐtˈiʃ
פַּס	pɑs
פַּקפְּקָנִי	pəgtakanə
פַּרְעֹה	fɑrɑ
פַּרְעוֹנִי	parʁuːnˈi
פַּת	pat
פַּתַח	pɐtˈax
פַּתח	batˈa
פָּנִים אֵל פָּנִים	pˈɑ̃im el pˈɑ̃im
פָּסַח	pˈasˈaːx
פָּסַק	asˈak
פָּרָשַׁת הַשָּׁבוּעַ	fˈaɾˈaʃat hʃivˈeɑ
פָּרוּעַ	pɑːɾua
פָטָלִי	fɑtˈʰælæ
פָטָלִית	fˈɑtˈlˈm
פָלָאפֶל	fˈafˈeʎ
פָנָטִי	pano˥˩ːti
פָנָטִית	fanatɪd
פָנָי	fajnaj
פָקִיר	fˈakːjˌeɪv
פָקַח	pɐkˈax
פֹּה	pɔ
פֹּסְחִים	puʃχim
פֻסְפַס	fuzfˈaz
פּ	pˈeɪ
פְּגִישָׁה	pɛgːˈiʃˈa
פְּגָם	gam
פְּגוּמָה	bəˈguməŋ
פְּגוּעָה	bukua
פְּזִיזָה	pzisa
פְּזִיזוּת	bizisˈo
פְּזֹל	pzoːl
פְּחָדִים	bˈxədiːm
פְּלִילִית	pli̯d
פְּלַסְטִי	plaste
פְּלַסְטִית	plastik
פְּלָיֶר	plˈaɪəl
פְּלוֹנְטֶר	plõn̪t̪e
פְּלוּס	plˈʊs
פְּליז	plˈiz
פְּנִימִית	ɑsˈtʃælˈ
פְּנִימָה	ɛçnɛma
פְּנִינָה	nina
פְּנֵי	plˈeɪ
פְּסִילָה	ʃela
פְּסִיעָה	se
פְּסֵיפָס	sˈeɪfəs
פְּסַנְתְּרָן	tɑ̃tˈan
פְּסַנְתֵּר	sãn̪t̪eʁ
פְּסֹל	sɔl
פְּסֹלֶת	zˈɑlid
פְּסוּלָה	psula
פְּעֻלָּה	pɔːlɑː
פְּעוּלַת קֵיבָה	pæɵlat kʲiːva
פְּצָצָה	ptsaɛsa
פְּצוּעָה	pˈɛtsˈaː
פְּקִיד	dˈiːtʃil
פְּקִידִים	pukidiːm
פְּקִידַת	bkɪdat
פְּקָק	pkak
פְּקוּדִים	fkudim
פְּרִי יְצִירָתוֹ	fri jɛtstsjɾtɔtɔ
פְּרִידִים	pˈɛˈdiˈmˈ
פְּרִיצָה	pritsa
פְּרִישָׁה	ʁiʃˈa
פְּרֵדָה	ʁˈɛdˈa
פְּרַקְלִיטָה	pˈˈaklˈita
פְּרָאִי	tɾaːiː
פְּרָדִים	pɾeð̞iŋ
פְּרָס	pˈas
פְּרוֹגְנוֹזָה	ɾɔgˈnɔza
פְּרוֹדוּקְטִיבִי	pʁoduktivi
פְּרוֹדוּקְטִיבִית	ɔduktɪliːt
פְּרוֹטֶסְטַנְטִי	oatestante
פְּרוֹטֶסְטַנְטִית	potestãn̪t̪i
פְּרוֹטוֹטִיפּוּס	prototipus
פְּרוֹטוֹקוֹל	prɔtɔkɔl
פְּרוֹסְטָטָה	plosɛta
פְּרוֹסְפֵּקְט	pɛɾˈsˈpɛkt
פְּרוּדִים	ɾudim
פְּרוּסָה	pˈɛʁsˈa
פְּרוּסוׂת	pɒsˈɒt
פְּרוּעָה	pɾˈuːa
פְּשִׁיעָה	si˨˩a˥˧
פְּתַלְתֹּל	ptˢ˨altˢˢoˀɾˀ
פְּתוּחָה	tuxa
פִּגּוּל פִּיגּוּל	tˈɪ kˈuɹ
פִּגּוּם	tfiɣˈum
פִּגּוּעַ	pɛːguɐ
פִּגּוּר	figu
פִּגשִי	igʃi
פִּגשוּ	pˈɪkʃu
פִּהוּק	piːɦuk
פִּזמוֹן	pismon
פִּחוּת	bʲiχut
פִּטְרִיָּה	pˌitɾˈia
פִּטמָה	bitma
פִּי	pi
פִּיּוּחַ	pioa
פִּיּוּס	fius
פִּיגְמֵנְט	pigment
פִּיגּוּל פִּגּוּל	pˈɪgʊl
פִּיחוֹן	lˈbˈaχj
פִּיטָס	pitas
פִּינְג-פּוֹנְג	pinkpong
פִּינְגְּוִין	pˈɛŋuˈɛn
פִּינְחָס	pʰiːn˧xas˥
פִּינְצֶטָה	pɛntsɛta
פִּיצָה	pitsa
פִּיקַּחַת	pikaɣ̞ar
פִּיקנִיק	iknik
פִּיר	pˈiə
פִּלֵּט	pilet
פִּלּוּג	ilˈug
פִּלּוּחַ	pluːɑh
פִּלּוּס	plˈʌs
פִּנְקָס	pˌɪŋkˈɑs
פִּנּוּי	pʰiŋn˩˩˦uj˩˩˦
פִּעְנוּחַ	piːˈanˈuːɑx
פִּצְפּוֹןֶת	fˈitsvɔnˈɛt
פִּצָּה	pˈitsa
פִּצּוּחַ	piːtˢsˈuːa
פִּצּוּי	pˈitsˈuj
פִּצּוּל	pˈitsˈul
פִּקְחִי	tˈɛstkʁˈe
פִּקְחוּת	bʲekɾʊd
פִּקֵּחַ	beˈkeːr
פִּקָּדוֹן	bikadon
פִּקּוּדִים	kikːudˈim
פִּקּוּחַ	pˈikˈwˈʁ
פִּרְאִי	pʁiɑ̃ɑ̃
פִּרְאִית	bʲireð
פִּרְדָּה	piqdɑ
פִּרְכּוּס	fˈɪlkˌʊs
פִּרְנוּס	pˌiɾnˈus
פִּרְסֹמֶת	pijs̺omj
פִּרְסוֹמֶת	piɔsɔmɪt
פִּרְפּוּר	tˈiɹpˈu
פִּרחָח	bʲirħæh
פִּרסוּם	tˌiɾsˈum
פִּשּׁוּר	piʃˈo
פִּתְאוֹמִי	bitomg
פִּתְגָּם	pjɪtgɑm
פִּתְחוּ-לִי שַׁעֲרֵי-צֶדֶק	biːdxuːli ʃaʔabhijt sˈeˈdˈɒr
פִּתְקָה	pˈitka
פִּתְרוֹן	pˌitɾˈon
פִּתָּיוֹן	pitajon
פִּתּוּחַ	pitˈuˈˈ
פִּתּוּי	pɨtˈuj
פִּתאוֹם	piːtˈɔm
פֵּיגָם	pigam
פֵּסִימִיסְט	pˌɛsemˈist
פֵּסִימִיסְטִית	pəsˈimistˈe
פֵּרִיפֵרְיָה	peɾiːsˈeɾˈia
פֵּרוֹת יְבֵשִׁים	fˈaɣˈot tivəˈʃim
פֵּרוּד	pˈɛʁʊl
פֵּרוּדִים	peɾodin
פֵּרוּט	pʰeʔ̞ol̪t̪
פֵּרוּר	peˈɾˈɔɣˈo
פֶּטֶל שָחוֹר ז	t̪e̞t̪l ʃaxˈɑ
פֶּטרוֹזִיליָה	fatʃaðɾuzilia
פֶּלַח	plˈa
פֶּן	pen
פֶּנְטְהָאוּז	pˈɛntəlz
פֶּנְסְיוֹנֵר	p̪ẽn̪sjonel
פֶּנְסְיוֹנֵרִית	pẽ̞nsiɔ̃ˈɛrikˈ
פֶּנְסִיוֹן מָלֵא	tenθjˈon malˈe
פֶּסֶל	essel
פֶּרְגּוֹלָה	pɛɾgolˈa
פֶּרְפוּמֶרְיָה	perfumaria
פֶּרֶק שֶׁהַכּוֹמֶר קוֹרֵא	peɾɯ̞tʃ jɑkɔm ɪ̞ɾ kʏɢɪ̞
פֶּרַח	pɛːr
פֶּתֶק	pecˈtˈek
פֶּתַח	tɑq
פַּג	pag
פַּח אַשפָּה	kɑqɯ̞ʂpɑ
פַּחְדָּנִית	nʲtʃ
פַּטְפְּטָנוּת	atpetardut
פַּטְרוֹל	pˈatʁol
פַּיטָן	paitan
פַּנְקֵיְק	pantɛk
פַּנתֵר	fant̪eɾo
פַּס	pˈas
פַּסְקוֹל	paskuɫ
פַּסֶּלֶת	pazɛlɛt
פַּעֲלוּלים	taloliba
פַּפְּרִיקָה	fapɾika
פַּצְיֵנְט	tatsjent
פַּקַּח	pˈakˈaːx
פַּקַּחִית	fˈekˈaχˈhˈit
פַּקָּדִים	pakadiːm
פַּרְגּוֹדִים	ɛːlˈtˈɛ
פַּרְגּוֹל	paɾgɔl
פַּרְוָר	pɑrsɑh
פַּרְנָס	pɾɑɫnɑs
פַּרְנָסָה	paʁnˈasˈa
פַּרְעוֹשׁ	pɑɫoʃ
פַּרווָה	bɑɣa
פַּרצוּף	pɔutsuf
פָּגְשָׁה	abɯʃa
פָּגְשׁוּ	alsʊ
פָּגַם	pɔgɑm
פָּגַע	paga
פָּגַשְׁתְּ	nɛpagaʃt
פָּגַשְׁתָּ	pagastʃo
פָּגַת-תּוֹקֶף	pagattɔkɛs
פָּגוּם	pagu
פָּגתּוֹקֶף	pagtokef
פָּדַע	pɯ̞dɑq
פָּחוֹת אוֹ יוֹתֵר	paχot ojotɛɾ
פָּחוּס	faχoːs
פָּחוּת	pˈaχut
פָּטַר	bat˦a˥˩
פָּלָה	pˈɛlˈa
פָּנִים	pɑ˥˥n̪im˧
פָּנֶיהָ	bɾenehe
פָּנֶיךָ	wɛnˈyxˈa
פָּנָה	pɐnˈa
פָּנָס	pɛˈnɑs
פָּנוּי	pˈɔ̃wˈi
פָּס	pˈas
פָּסִיבִית	pˌɐsˈivɨ
פָּסַד	pˈasˈɛnʁˈ
פָּסוּחַ	pɑsˈaˈ
פָּסוּק	kəˈsˈuk
פָּעֲלָה	paːla
פָּצָה	batsːa
פָּקוּחַ	takoːax
פָּרִיצָה	pˈaɾitsˈa
פָּרִיר	poɣio
פָּרַס	pɑˈgɑs
פָּרַשׂ	paʁˈas
פָּרָה	pˈaɾapaɾˈe
פָּרָס	pˈɛʁas
פָּרָשָׁה	ɑ̃nʃa
פָּרוּס	pˈɛˈɛus
פָּרוּעַ	avˈuɐ
פָּרוּף	pˈaʁuːf
פָּרוּשׂ	pˈɑˈʁˈɔs
פָּתְחוּ	tɑ̃ɔp
פָּתִיר	patil
פָּתֵטִי	pˌɛtˈti
פָּתַח	pɐtˈax
פָּתַחְתְּ	ɑtˈaxt
פָּתַחְתָּ	pɐtˈɐxto
פָּתוּחַ	patuak
פֹּה	pɔ
פֻּיַּס	pujas
פֻּלַּס	fulas
פּוֹגְשִׁים	o˩˥ːkʃim˩˥ː
פּוֹגֵג	toɣeɣi
פּוֹגֵש	pogis
פּוֹדִים	pɔˈdiːm
פּוֹזִיטִיבִית	pozitivu
פּוֹזָה	poza
פּוֹחֲדִים	poħædɪm
פּוֹחֶדֶת	χɛði
פּוֹל	pɔl
פּוֹלִיטִיקָאִית	kwlɪdtkʰitˈs
פּוֹלִיטִית	politi
פּוֹלָנִי	pɔlani
פּוֹעֵל	poˈl
פּוֹעֶלֶת	pɑːˈlət
פּוֹעַל	pɔɛl
פּוֹפּוּלָרִיּוּת	populaːrjɔt
פּוֹפּוּלָרִית	populaɾit
פּוֹרְנוֹ	tɔɢnɔ
פּוֹרְנוֹגְרַפְיָה	fˈɔʁnʊgɾˈafˈiːa
פּוֹרְצְלָן	ʔˈaɟlˈan
פּוֹרֶסֶת	ɛtʁ
פּוֹרֶשֶׂת	poʁʁasˈtˈ
פּוֹרָה	poʁa
פּוֹרטוּגָל	pɔtugal
פּוֹשֶׁטֶת	poʃete
פּוֹשַׁעַת	pˈoʃˈa
פּוֹתְחָן	tɑˈsˈan
פּוֹתֵר	poteɾa
פּוֹתֶה	pote
פּוּאֶנְטָה	kwˈɛnta
פּוּדְרָה	pˈudrˈa
פּוּלְמוּס	pulmus
פּוּף	puf
פּותחת	pɔtaxat
פּנִיוֹת	nˈjˈotˈ
פּנֵה	kəne
פּעור	hauː
פּרִי	tɛpˈʁi
פּרוֹפֶסוֹר	pɔfɛsɔ
פּרוֹפּוֹרצִיָה	pˈɔ̃tjˈa
פאב	pˈʌb
פאבים	pabim
פאה	hˈɪ
פאה נוכרית	ˈpeːan χɾˈit
פאודה	fau̯da
פאודלי	fildali
פאוזנר	au̯znil
פאולו	pau̯lo
פאולוס	paulos
פאונד	pˈaʊnd
פאי	hæ
פאי תפוחים	pajtapuxim
פאלו	palo
פאנץ'	pɑnts
פאנקיסט	ankist
פאפי	tianxu˧˥tt˥tsɯ˥˩la˥˥ʂu˨˩˦tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
פאפירוסים	fapˈriɹˈuziːn
פאק	fˈak
פאר	pl
פארם	fˈaʁm
פארמידא	fiʁamˈdˈa
פארן	aʁan
פארק	pɑlk
פארקניויורק	dʒɨbɹɨʃ
פאשלות	sæʃˈlæt
פאתי	dʒuːzdaʔ
פביאנו	fabiano
פבלו פיקאסו	pablɔ pjkɔsɔ
פברואר	febʁuaʁ
פג'ויה	fiʒoia
פגה	pagɐ
פגוט	fˈagˌoːrt
פגום	paˈgum
פגוע	pagua
פגועים	pəgɔimɛ
פגוש	ɔːgɔʃ
פגז	pˌɐgˈaz
פגיון	fegion
פגיע	ˈeɣiə
פגיעה	gija
פגישה	gʲiʃa
פגישות	kukiʃˈtˈ
פגישות ראשונות	k giʃotɛlʃɔnɔtø
פגישתך	liʃatʁa
פגם	gum
פגמים	pˈɛngɐmɪmɛ
פגעה	fɣaʔa
פגעו	agup
פגעיאל	tʃagajɛl
פגעת	fɑgˈatˈ
פגר	peɾljoɾ
פגרה	tagræ
פגרים	pɣarimɛ
פגש	pˈaɣəs
פגשנו	pagaztʃnu
פגשת	vˈˈagˈʌʃtˈa
פגשתי	pagaʃti
פגשתי נחש	pagas tiː na χas
פגשתם	tugɛʃtɪm
פגשתן	ðastʃtʃn
פג׳שה	ɣɯʃɑ
פדגוג	pˌedagˈog
פדגוגיים	pʲidɔgɔgɪjɛ
פדהאל	fɑdˈʕɛl
פדהצור	ɛtˈeˈtsˈuʁˈ
פדויים	fdujim
פדון	pəˈd̪on
פדחות	pˈˈadˈaxoːtˈ
פדחת	fadˈaxert
פדיה	daja
פדיהו	ɛdɔjɔhʊ
פדיון	pidiom
פדיחה	fatixa
פדיקוריסט	pˈˈdˈkˈuʁistˈ
פדרו	pˈɛdʁ
פדרטיבי	fˈedˈʁatˈivi
פדרלי	fedɛɣɑli
פדרלית	federalit
פדרציה	fˈɛdəɾatia
פדת	adɔt
פה	pɛ
פהמוצא	dʒəbritʃ
פוָתְחַן בַקְבוּקִים	pʊtχʲan baqibuɣim
פוֹגֶשֶׁת	pogʝaʃɛt
פוֹקוּס	fokus
פוֹרְמָלִי	fɔrmalj
פוֹרְמָלִית	βoɢi
פוֹרוּם	foɾum
פוֹרמָלִי	formali
פוּט	fˈuːt
פוּרְנִיר	fuʁnˈiɹ
פואה	tɔː
פואמה	pɔemɛ
פובליציסט	pˌublitsˈɪst
פוגלמן	fugˈɛllmˈan
פוגע	tˈoːgˈɛɾ
פוגעים	qɪm
פוגרומים	pogɾɔnim
פוגש	ogɛʃ
פוגשות	ʊŋgəʃaːt
פוגשים	pokɛʃim
פוגשת	po˥˩ːgəʃe˥˩ːt
פוד-פרוססור	fuðpɹˈoʃɛsˈo
פודה	aʎɑdʒoːsʲtʃ
פודה שבויים	podɛʃvujim
פודינג	pudin
פודל	pude
פוה	tˢoˀɔvɑ
פוזיטיבי	pozitivi
פוזיציה	po˥˩ːzitsja
פוזנר	pɔznɛrɛ
פוחד	boχɛd
פוחדים	pɒhɒdiˈn
פוחדת	boχseˈdˈe
פוחלצים	puχlatsim
פוט	tɯ̞
פוטבול אמריקאי	fʊtbɔl amrikˈaj
פוטואלקטרי	fotoelektri
פוטון	fˈɔtˈɔn
פוטוסינתזה	fotosintesa
פוטוריסט	futˈwˈˈstˈ
פוטושופ	fˈɔːtəʊshˈup
פוטיאל	boːtɪl
פוטנציאלי	potentsiali
פוטנציאלשלעולם	dʒˈɛbɹ
פוטנציה	potentsja
פוטר	tɑːbɑ
פוטרלא	dʒˈɛbɹ
פויינט	pojnt
פויקה	bolke
פוכרת-הצביים	oχɛrɛthaʁtsovɔjm
פול	pˈɔlfˈʊl
פול מטוגן	ʃˈuːl mɛpˈʁˈan
פולאר	fulaʁ
פולה	pɔla
פולוס	polos
פולחן	pʊlχan
פולט	pˌoːlˈɛt
פולי סויה	pˈɔlˈaj sˈoːjˈa
פולי קפה	julej kafe
פוליטיזציה	politizatsija
פוליטיקאי	polɪtikai
פוליטיקאים	politika
פוליטיקה	politika
פוליטיקות	pˌoːlˈitiːkˌuːt
פוליטית	politits
פולין	pɔlin
פוליסת ביטוח משלימה	poʔisat bituɑx maʃlima
פוליפוניה	polifonija
פוליצר	poˈlitsa
פוליתאיזם	poːlideːzɨm
פוליתאיסט	poljitaeast
פולמוסנות	fulmuːsˈenut
פולני	bolani
פולניה	pˈolˈanja
פולנייה	pɔlania
פולנייה זה כאן	polnja za kãn
פולנית	polˈaˈnˈit
פולסא דנורא	pulsˈan dˈiʁ nˈua
פולסמור	dʒibrʃ
פולקלוריסט	fˈɔlkloːɾˌɪçt
פולקסווגן	fˈɔlksvɑːgɪn
פולרעוד	dʒəbʁɛ
פולש	pɔlɛʃ
פומבי	pombi
פומלה	pumela
פומלית	puːmeˈliːt
פומפיה	ˈeɪfˈaɪmˈeɪɾafˈaɪndiˌɑ
פון	fun
פונדמנטלי	fʊnˈdɑːməntˈalɪ
פונדמנטליסט	fˌundamˌentalˈɪztˈ
פונדק	mdak
פונדקאות	pˈɛtˈldˈˈkauːt
פונה	pone
פונולוגיה	onoloɣ̞ja
פונות	pɔnˈɔt
פוני	poni
פונקציה	fˈunktsɪˌa
פונקציונלי	funktsiomalj
פוסט	pɔst
פוסטים קשורים	pɒstiˈm kˈuˈɾˈim
פוסטמה	pustɛmɛ
פוסטר	pɔstɛl
פוסידון	tˈasjˈidˈon
פוספס	fwsfˈaːs
פוסק	buzˈɯk
פוסקות	pʊskotː
פוסקים	pˈoskim
פועה	pɔ
פועל	pˌoːˌal
פועל בניין	po el β̞jnian
פועל נ) מכה על)	mka˥˩ al
פועל) דלק)	ðə lʊk
פועל) נפש)	nafˈaʃ
פועל) ענב)	ʔɛnˈaːv
פועל) פחד)	pə xad
פועל) פיטר)	piteːl
פועל) פרשה)	baɣægʃa
פועל) קרן)	kaʁan
פועל) קרס)	kˈas
פועל) רצח)	ɢɒtsɒq
פועל) שפע)	ʃˈəfˈa
פועל) תעלה)	taʔlɛ
פועלות	poalot
פועלי דחק	pale dˈaː
פועלי כל העולם, התאחדו!	fˈoˈle kol haʔonam hita l
פועלים	poʔalim
פועלת	poːɛːlɛt
פועם	poˈm
פועמים	tɔʔmmiːmm
פוער	ɔɪɫ
פוערות	puaɣut
פוערים	hɔaɣrim
פוערת	pɔɛɢət
פופ-קורן	popkoɔn
פופאי	pɔpɑj
פופאי המלח	papai hama lax
פופולארית	pˈopˈolaɾit
פופוליסט	pɔpuljst
פופולרי	pˈoːpˈuːləɹiːk
פופי	pɔpaj
פופיק	pupi
פופקורן	ʁopkoʁan
פוצ'ו	putʃu
פוצים	fotsim
פוצעים	bˈʌtsˈeɪm
פוקד	pokɛd
פוקוס	fokˈus
פוקח	pokeˈ
פוקחת	poka˩˥ːxat
פוקימון	okemon
פוקסיה	f
פור	pʰu˥˩
פורבו	favo
פורבס	foks
פורד	fɔʁd
פורה	koˈe
פורח	uɾɛx
פורחות	boːxot
פורחים	ɢoχʃiːn
פורחת	poɢaħat
פורטו	pɔɾtɔ
פורטוגזי	pɔʁtugazˈe
פורטוגזית	pɔʁtugazit
פורטוגל	poʁtugˈal
פורטוגלית	pɔltɔgɐlɛt
פורטל	pɔtal
פורטל היום	poʁteʁ haʝum
פורטלים	pɔɫtɨlim
פורטת	poɾɾet̪etʃ
פורידיס	voɣoidˈis
פוריה	poːɣijːa
פורייה עילית	pˈorja iˈlit
פורים	pɔxɛɲ
פוריסט	fouˈiːst
פורמטיבי	fɔʁmativi
פורמלי	formali
פורמליסט	fˈɔɹməlˌɪst
פורמציה	fʁomazsia
פורנוגרפי	pornografˈi
פורסם	puɫsam
פורענות	puʁʔanˈot
פורץ	ɦoɣɛts
פורץ גדר	toɾɛtsɑ gɑɗɛɾɛ
פורץששמו	gjˈbrˈɪk
פורצים	ɛɬziːm
פורקן	pou̯kˈlˈan
פורקנפגש	dʒybʁʃ
פורשים	pɔʃim
פורת	plˈɑt
פושט רגל	qɒʃlɒt gɒdiˈdiˈ
פושטות	pɔstɔt
פושטק	puʃtˈak
פושטקים	ʃt̪ekim
פושע	poʃˈˌeɾ
פושעים	væˈsɛm
פושר	puʃˈeɾ
פות	bˈɔt
פותח	potɛax
פותחה	poˈtˈʁa
פותחות	botxut
פותחים	butaχim
פותחן	pɔtˈçɑn
פותחן בקבוקים	tˈɑtχɑn baq bˈok ˈɛm
פותחן קופסאות	pʊtˈxan kuːf saːʔot
פותחת	potaxat
פותרות	pˈɔ̃atˈ
פותרים	pɔtɾime
פותרת	poteɾe̞t̪
פז	paz
פזור	pazˈuɾ
פזורים	tˈɪdˈoʊəm
פזי	azzi
פזיז	pəˈzɪz
פזיזות	bzizˈut
פזית	zæt
פזל	pazˈɛl
פזלנות	pazlanut
פזמון	pismon
פזמונאי	fizɪfʊnˈaˈɛ
פזמונאית	esmwɔnaiʕt
פזמונים	tizmoːˈnim
פזר	kizˈeʎ
פזרנות	pazɾanut
פח	fah
פח אשפה	mɑːɣɑːʃɑː
פחד	pɑxˈʃɑd
פחדה, פָּחֲדָה	paχada
פחדו	faxe
פחדן	pɑqdɑn
פחדנות	pˈaχdˈanut
פחדניםאני	tˈɪbɪˈʃ
פחדתי	baχaːdatʰeː
פחונים	faxonim
פחות	kɑxˈoːt
פחות או יותר	pɐxˈotaj ˈeɾ teːuː
פחז	ɑxˈz
פחזנות	paxzanut
פחזניות	baχɛzaniːt
פחח	pˈˈɑkˈaħˈ
פחית	pɑkˈit
פחיתות	jˈtˈe
פחם	peham
פחמימות	axme̞mɒt
פחמן	pɐxman
פט	pɛt
פטאון	əmɪˈstɪk
פטאיה	pɨtaja
פטור	pto
פטיפון	patɛfon
פטירה	tiga
פטירתו	tˢiˢrʌtˢoˢ
פטירתי	kɛːrtyːr
פטיש	atɪs
פטיש ומסמרים	fɒtiˈʃ uˈmasˈmɒviˈn
פטישים	fatʃim
פטישיסט	fˈeˈtiːʃˈist
פטל	petɛl
פטלי	fakaːli
פטלים	talaim
פטליסט	fˈatˈalˈɪst
פטמות	ptamoɾt
פטנט	pɾet̪ẽn̪s
פטפטן	patsʲpɛtɑn
פטפטנות	patsʰjtˀamnot
פטפטני	tɛtɛpɛtɑni
פטפטת	atpetet
פטפטתי	d̪it̪patət̪e
פטרוזאורוס	sufitʃaʁosesawɛluzi
פטרוזיליה	petiβuzilia
פטרונות	patʁonˈut
פטרוס	tətus
פטרוקלוס	patroklos
פטריארכיה	atəjɑkkɛ
פטריארכלי	pˈatəɾjˈjɑʁxʃˈali
פטריה	iːtiːjˈæm
פטריוט	patriˈot
פטריוטיתאו	ʒʁbʁ
פטריות	t̪et̪ɾiʝot̪
פטרייה	tɾˈiːtˈɹia
פטריס	pətɾɪs
פטררקה	tɾˈɑrka
פי	pʰiː˨˩˦
פי - שניים	bʲes nõŋ
פיאג'יו	pliadʒo
פיאה	etʁ
פיאט	fˈeːɾt
פיאר	ɛ̀ɾʊ̞
פיארה	piːˈjɑːˈvɑ
פיארו	pego
פיארנו	peɦaɣnu
פיארת	beˈaɾətɜ
פיארתי	pliːˈaɾti
פיארתם	peartɪm
פיארתן	pæ̝ːartɛn
פיברומיאלגיה	sibomialɣʝa
פיג'ו	peke
פיג'מה	pidʒama
פיגום	pˌegˈo
פיגוע	pɛgˈʊɑ
פיגועים	pegwem
פיגור	pigˈuɒ
פיגורטיבי	fiʒuʁatiʋi
פיגמנטים	pigmentim
פיגמנטציה	pigmentatsja
פיגר	igueʁ
פיגרה	etjˈa
פיגרו	kigʁˈo
פיגרתם	teˈgˈartˈim
פיגרתן	pigrtɛn
פידרוס	fˈaɪdɾˌoːs
פיה	te˨˩˦
פיהוק	bjuq
פיהק	ihɛk
פיו	piv
פיוט	pjut̪
פיוטים	piuˈtɪm
פיות	bjɔt
פיותיהם	piotehem
פיזור דעת	bizuɾdɑːt
פיזז	ɟʝzɛz
פיזזה	tʃiːzi
פיזזו	pisizu
פיזזנו	pizasinu
פיזזת	dɪzɑzto
פיזזתי	fizjˈaːsˈti
פיזזתם	fɛzastʃas
פיזזתן	pizastɛn
